ResponseId,Economy,P5,P25,P65,P125,P250,P500,P1500,P3000,P5500,P17500,P35000,P70000,P140000,P280000,P560000,AGE,GENDER,RELIGION,POL,INC,HINS,ALC,MJ,GB,NIC,normalized_auc
R_8mKTIO9OfGJmf2G,0,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,              NA
R_8MS4JTcyD2oUqde,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,              NA
R_8NVaqidJeram9sT,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,30,1,100,100,0,0,0,0,0,0,0.001776786
R_8OwdcNDRafAUvE8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.78571E-05
R_8oWRxdUMV8H7MYL,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.001776786
R_8plMzLp1VjhOzEY,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,              NA
R_8pSfzHzSyP220QJ,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,18,0,51,62,1,0,0,0,0,0,0.187660714
R_8pSQfaIwQHuiKRR,0,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000883929
R_8qCkGbaRhvYpsKK,0,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,22,1,85,50,1,0,NA,0,NA,0,0.002232143
R_8QLA2rxBtBXuMCp,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,32,1,98,60,1,0,0,0,0,0,0.006919643
R_8QXNQE7zCG3KMOt,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,29,1,100,100,1,1,0,0,0,0,0.999991071
R_8R31PDSSqMMujHz,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,1,28,32,1,1,0,NA,0,1,              NA
R_8r35gYgSoonA8iW,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,              NA
R_8R8xYIGwwCaleCn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,              NA
R_8RkBdziF8xJpRCh,1,1,1,1,1,1,NA,0,0,0,0,0,0,0,0,0,30,0,44,NA,1,0,1,0,0,0,0.001553571
R_8RNTY2WEJ56rfm3,1,1,1,1,1,1,1,1,NA,NA,NA,1,0,0,0,0,23,1,80,31,0,0,1,0,0,0,0.093741071
R_8t7uzNkS5Rx5I1b,0,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,1,50,30,1,0,1,0,1,0,0.000883929
R_8U5BCBRaRCzvtwh,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.001776786
R_8UYvjXB4EadeT6h,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,              NA
R_8vDAgSp0ei2UAq5,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.007580357
R_8Ya0tMScR7VlhOA,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,23,0,75,50,1,0,0,0,0,1,0.046866071
R_8yiKL32llfbijtL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,              NA
R_8YzwfK7toI20WYz,0,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,30,1,80,60,1,1,0,0,1,0,0.999991071
R_8Z3J8t8VIgeNMEV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,              NA
R_8ZRkP0HSRkl7PR7,NA,1,1,NA,1,1,1,1,1,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.020526786
